"","filename","Persons"
"278","1948//md000941.xml","Waverley, Ava 1896-1974"
"279","1948//md000942.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"280","1948//md000943.xml","Aylwen, George Bart, Sir, 1880-1967"
"281","1948//md000943.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"282","1948//md000943.xml","Lie, Trygve, 1896-1968"
"283","1948//md000943.xml","Thompson, Malvina, 1893-1953"
"284","1948//md000944.xml","Aylwen, George Bart, Sir, 1880-1967"
"285","1948//md000944.xml","Douglas, Lewis W. (Lewis Williams), 1894-"
"286","1948//md000944.xml","Elizabeth II, Queen of Great Britain, 1926-"
"287","1948//md000944.xml","George VI, King of Great Britain, 1895-1952"
"288","1948//md000944.xml","Mary, Queen, consort of George V, King of Great Britain, 1867-1953"
"289","1948//md000944.xml","Philip, Prince, consort of Elizabeth II, Queen of Great Britain, 1921-"
"290","1948//md000944.xml","Stassen, Harold Edward, 1907-"
"291","1948//md000944.xml","Truman, Harry S., 1884-1972"
"292","1948//md000945.xml","Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002"
"293","1948//md000945.xml","Rolin, Henri, 1891-1973"
"294","1948//md000946.xml","Albert I, King of the Belgians, 1875-1934"
"295","1948//md000946.xml","Elisabeth, Queen, consort of Albert I, King of the Belgians, 1876-1965"
"296","1948//md000946.xml","Hoover, Herbert, 1874-1964"
"297","1948//md000947.xml","Juliana, Queen of the Netherlands, 1909-2004"
"298","1948//md000947.xml","Ribbius Peletier, Anna Elisabeth, 1891-1989"
"299","1948//md000947.xml","Rolin, Henri, 1891-1973"
"300","1948//md000948.xml","Bernhard, Prince, consort of Juliana, Queen of the Netherlands, 1911-2004"
"301","1948//md000948.xml","Juliana, Queen of the Netherlands, 1909-2004"
"302","1948//md000948.xml","Thompson, Malvina, 1893-1953"
"303","1948//md000948.xml","Wilhelmina, Queen of the Netherlands, 1880-1962"
"304","1948//md000949.xml","Lewis, John Llewellyn, 1880-1969"
"305","1948//md000950.xml","Juliana, Queen of the Netherlands, 1909-2004"
"306","1948//md000951.xml","Millard, Hugh"
"307","1948//md000952.xml","na"
"308","1948//md000953.xml","Gellhorn, Walter, 1906-1995"
"309","1948//md000953.xml","Reuther, Walter, 1907-1970"
"310","1948//md000954.xml","Churchill, Winston, Sir, 1874-1965"
"311","1948//md000955.xml","Bethune, Mary McLeod, 1875-1955"
"312","1948//md000955.xml","Chisholm, Brock, 1896-1971"
"313","1948//md000955.xml","Ewing, Oscar R. (Oscar Ross), 1899-1980"
"314","1948//md000955.xml","Lord, Mary Pillsbury, 1904-1978"
"315","1948//md000956.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"316","1948//md000957.xml","Hooker, Miss"
"317","1948//md000958.xml","Drake, Francis, approximately 1540-1596"
"318","1948//md000958.xml","Taylor, Glen Hearst, 1904-"
"319","1948//md000958.xml","Wallace, Henry Agard, 1888-1965"
"320","1948//md000959.xml","Clark, Mark W. (Mark Wayne), 1896-1984"
"321","1948//md000959.xml","Eisenhower, Dwight D. (Dwight David), 1890-1969"
"322","1948//md000959.xml","Eisenhower, Mamie Doud, 1896-"
"323","1948//md000959.xml","McCloy, John J. (John Jay), 1895-1989"
"324","1948//md000960.xml","Marshall, George C. (George Catlett), 1880-1959"
"325","1948//md000961.xml","na"
"326","1948//md000962.xml","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"327","1948//md000962.xml","Hull, Cordell, 1871-1955"
"328","1948//md000962.xml","Marshall, George C. (George Catlett), 1880-1959"
"329","1948//md000962.xml","Martin, Joseph W. (Joseph William), 1884-1968."
"330","1948//md000962.xml","Parran, Thomas, Jr., 1892-1968"
"331","1948//md000962.xml","Stassen, Harold Edward, 1907-"
"332","1948//md000962.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"333","1948//md000963.xml","Douglas, Helen Gahagan, 1900-1980"
"334","1948//md000964.xml","Douglas, Helen Gahagan, 1900-1980"
"335","1948//md000964.xml","Truman, Harry S., 1884-1972"
"336","1948//md000965.xml","na"
"337","1948//md000966.xml","na"
"338","1948//md000967.xml","O'Neill, Eugene, Jr., 1910-1950"
"339","1948//md000967.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"340","1948//md000968.xml","Roosevelt, Elliott, 1910-1990"
"341","1948//md000968.xml","Roosevelt, James, 1907-1991"
"342","1948//md000969.xml","na"
"343","1948//md000970.xml","Buford, Annette"
"344","1948//md000970.xml","Dickason, Henry Lake"
"345","1948//md000970.xml","Gurewitsch, Edna P. (Edna Perkel)"
"346","1948//md000970.xml","McGrath, William (Tenor)"
"347","1948//md000970.xml","Meadows, Clarence W., 1904-1961"
"348","1948//md000970.xml","Meadows, Nancy Massie, 1912-1986"
"349","1948//md000970.xml","Morgenthau, Henry, 1917-"
"350","1948//md000970.xml","Stewart, Irvin, 1899-1990"
"351","1948//md000970.xml","West, James E. (James Edward), 1876-1948"
"352","1948//md000971.xml","Stalin, Joseph, 1879-1953"
"353","1948//md000971.xml","Wallace, Henry Agard, 1888-1965"
"354","1948//md000972.xml","Biddle, Francis, 1886-1968"
"355","1948//md000972.xml","Chapin, Katherine Garrison, 1890-1977"
"356","1948//md000972.xml","Smith, Miriel"
"357","1948//md000973.xml","Hitler, Adolf, 1889-1945"
"358","1948//md000974.xml","Baruch, Herman Benjamin, 1872-1953"
"359","1948//md000974.xml","Mize, Robert Herbert, 1907-2000"
"360","1948//md000975.xml","na"
"361","1948//md000976.xml","na"
"362","1948//md000977.xml","na"
"363","1948//md000978.xml","na"
"364","1948//md000979.xml","Smuts, Jan Christiaan, 1870-1950"
"365","1948//md000980.xml","na"
"366","1948//md000981.xml","na"
"367","1948//md000982.xml","Douglas, William O. (William Orville), 1898-"
"368","1948//md000982.xml","Elliott, Edward"
"369","1948//md000983.xml","Byrnes, James F. (James Francis), 1882-1972"
"370","1948//md000983.xml","Smith, Hilda Worthington"
"371","1948//md000984.xml","Myrdal, Gunnar, 1898-"
"372","1948//md000984.xml","Wallace, Henry Agard, 1888-1965"
"373","1948//md000985.xml","Bernadotte, Folke, 1895-1948"
"374","1948//md000985.xml","Hatch, Carl Atwood, 1889-1963"
"375","1948//md000985.xml","McGrath, J. Howard (James Howard), 1903-1966"
"376","1948//md000986.xml","na"
"377","1948//md000987.xml","Wallace, Henry Agard, 1888-1965"
"378","1948//md000988.xml","Benes, Edvard, 1884-1948"
"379","1948//md000988.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"380","1948//md000989.xml","Barrett, Frank A. (Frank Aloysius), 1892-1962"
"381","1948//md000989.xml","Drury, Newton Bishop, 1889-1978"
"382","1948//md000989.xml","Krug, Julius A. (Julius Albert), 1907-1970"
"383","1948//md000990.xml","na"
"384","1948//md000991.xml","Cox, Edward E. (Edward Eugene), 1880-1952"
"385","1948//md000991.xml","Gossett, Ed Lee, 1902-1990"
"386","1948//md000991.xml","O'Daniel, W. Lee (Wilbert Lee), 1890-1969"
"387","1948//md000992.xml","Marcus, David, 1901-1948"
"388","1948//md000993.xml","Meyer, Agnes Elizabeth Ernst, 1887-"
"389","1948//md000993.xml","Meyer, Eugene, 1875-1959"
"390","1948//md000993.xml","Sanders, Jane G."
"391","1948//md000994.xml","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"392","1948//md000994.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"393","1948//md000995.xml","na"
"394","1948//md000996.xml","na"
"395","1948//md000997.xml","na"
"396","1948//md000998.xml","na"
"397","1948//md000999.xml","na"
"398","1948//md001000.xml","na"
"399","1948//md001001.xml","Bricker, John W. (John William), 1893-1986"
"400","1948//md001001.xml","Martin, Joseph W. (Joseph William), 1884-1968."
"401","1948//md001001.xml","Smith, Margaret Chase, 1897-1995"
"402","1948//md001002.xml","Hoover, Herbert, 1874-1964"
"403","1948//md001002.xml","McDonald, James G. (James Grover), 1886-1964"
"404","1948//md001003.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"405","1948//md001004.xml","Eisenhower, Dwight D. (Dwight David), 1890-1969"
"406","1948//md001004.xml","James, Joseph (singer, ca. 1930s-1950s)"
"407","1948//md001004.xml","Swarthout, Gladys, 1900-1969"
"408","1948//md001004.xml","Tibbett, Lawrence, 1896-1960."
"409","1948//md001004.xml","Watson, Thomas John, 1874-1956"
"410","1948//md001005.xml","Willis, I. D."
"411","1948//md001006.xml","Wallace, Henry Agard, 1888-1965"
"412","1948//md001007.xml","Clay, Lucius D. (Lucius DuBignon), 1897-1978"
